Year,Value
	Haushalte,41
	Großverbraucher (Dienstleistung & produzierendes Gewerbe),46
	Gewerbe + Handel + Dienstleistung,12
	Stadt Göttingen (städtisch genutzte Gebäude und Einrichtungen),2
