Year,Energieträger,Value
2023,	Strom aus erneuerbaren Energien,2.3
2023,	Strom,26.9
2023,	Heizöl EL,3.6
2023,	Flüssiggas und Steinkohle,0.1
2023,	Erdgas,51.6
2023,	Fernwärme konventionell,11.8
2023,	Fernwärme aus erneuerbaren Energien,2.1
2023,	Wärme aus erneuerbaren Energien (Biomasse + Umweltwärme + Sonnenkollektoren),1.6
2023,	Heizstrom,0.1
2023,	lokale erneuerbare Energien am Gesamtendenergieverbrauch,6.0
