Year,Value
	Nohlstraße (Hintergrundstation),0
	Nohlstraße (Hintergrundstation),0
	Nohlstraße (Hintergrundstation),1
	Nohlstraße (Hintergrundstation),0
	Nohlstraße (Hintergrundstation),0
	Bürgerstraße 20 (Verkehrsstation),4
	Bürgerstraße 20 (Verkehrsstation),1
	Bürgerstraße 20 (Verkehrsstation),4
	Bürgerstraße 20 (Verkehrsstation),1
	Bürgerstraße 20 (Verkehrsstation),1
