Year,Value
2010,	6.3
2011,	5.2
2012,	2.7
2013,	3
2014,	4.2
2015,	4
2016,	4.1
2017,	4.2
2018,	4.3
2019,	4
2020,	4.3
2021,	5
2022,	4.5

