Year,Gewässer,Value
2018,	Badegewässerqualität Wendebachstausee,	ausgezeichnet
2019,	Badegewässerqualität Wendebachstausee,	ausgezeichnet
2020,	Badegewässerqualität Wendebachstausee,	ausgezeichnet
2021,	Badegewässerqualität Wendebachstausee,	ausgezeichnet
2022,	Badegewässerqualität Wendebachstausee,	ausgezeichnet
2023,	Badegewässerqualität Wendebachstausee,	ausgezeichnet

