Year,Value
2010,	24380
2011,	25377
2012,	36381
2013,	27456
2014,	29214
2015,	31021
2016,	31456
2017,	31650
2018,	31210
2019,	30820
2020,	30102
2021,	28320
2022,	27765
2023,	27428
