Year,Beschäftigungsquote,Value
2010,Beschäftigungsquote,	99.2
2011,Beschäftigungsquote,	96.8
2012,Beschäftigungsquote,	96.8
2013,Beschäftigungsquote,	97
2014,Beschäftigungsquote,	96.9
2015,Beschäftigungsquote,	97.2
2016,Beschäftigungsquote,	95.8
2017,Beschäftigungsquote,	96.3
2018,Beschäftigungsquote,	95.8
2019,Beschäftigungsquote,	93.4
2020,Beschäftigungsquote,	93.4
2021,Beschäftigungsquote,	92.7
2022,Beschäftigungsquote,	91.7
