Year,Art,Value
2014,	Fahrradstraßen,	4.1
2018,	Fahrradstraßen,	4.1
2020,	Fahrradstraßen,	4.7
2021,	Fahrradstraßen,	8
2022,	Fahrradstraßen,	8
2014,	Radwege,	90.4
2018,	Radwege,	91.3
2020,	Radwege,	91.3
2021,	Radwege,	91.3
2022,	Radwege,	91.3

