Year, Wohnfläche pro Person, Value
1990,	Wohnfläche pro Person,	31.03
2008,	Wohnfläche pro Person,	36.36
2014,	Wohnfläche pro Person,	37.02
2018,	Wohnfläche pro Person,	36.57
2020,	Wohnfläche pro Person,	37.95
2021,	Wohnfläche pro Person,	38.11
2022,	Wohnfläche pro Person,	37.39
2023,	Wohnfläche pro Person,	37.33
