Year,Sektor,Value
2023,	Haushalte,	187.3
2023,	Großverbraucher (Dienstleistung & prod. Gewerbe),	325.89
2023,	Gewerbe & Handel & Dienstleistung, 	61.99
2023,	Stadt Göttingen und städt. Gesellschaften,	9.77
2023,	Verkehr,	141.62

