Year,Sektor,Value
2023,	Haushalte,	41
2023,	Großverbraucher (Dienstleistung & produzierendes Gewerbe),	46
2023,	Gewerbe + Handel + Dienstleistung, 	12
2023,	Stadt Göttingen (städtisch genutzte Gebäude und Einrichtungen),	2
