Year,Sektor,Value
2023,	Haushalte,	21
2023,	Großverbraucher (Dienstleistung & produzierendes Gewerbe),	69
2023,	Gewerbe + Handel + Dienstleistung, 	8
2023,	Stadt Göttingen (städtisch genutzte Gebäude und Einrichtungen),	1

