Year,Value
2012,	6.8
2013,	8.688
2014,	19.6
2015,	89.4
2016,	31.25
2017,	28.37
2018,	65.98
2019,	126.46
2020,	197.26
2021,	478.34
2022,	689.096
2023,	1820.526

