Year,Value
	Beschäftigungsquote,40.9
	Beschäftigungsquote,44.9
	Beschäftigungsquote,45.9
	Beschäftigungsquote,46.5
	Beschäftigungsquote,47.1
	Beschäftigungsquote,47.6
	Beschäftigungsquote,49.5
	Beschäftigungsquote,50.4
	Beschäftigungsquote,50.5
	Beschäftigungsquote,52.7
	Beschäftigungsquote,53.5
	Beschäftigungsquote,55.0
	Beschäftigungsquote,55.6
	Beschäftigungsquote 55- bis 64-Jährige,37.7
	Beschäftigungsquote 55- bis 64-Jährige,41.1
	Beschäftigungsquote 55- bis 64-Jährige,42.6
	Beschäftigungsquote 55- bis 64-Jährige,44.2
	Beschäftigungsquote 55- bis 64-Jährige,46.0
	Beschäftigungsquote 55- bis 64-Jährige,47.2
	Beschäftigungsquote 55- bis 64-Jährige,48.3
	Beschäftigungsquote 55- bis 64-Jährige,49.5
	Beschäftigungsquote 55- bis 64-Jährige,48.8
	Beschäftigungsquote 55- bis 64-Jährige,53.0
	Beschäftigungsquote 55- bis 64-Jährige,53.7
	Beschäftigungsquote 55- bis 64-Jährige,54.9
	Beschäftigungsquote 55- bis 64-Jährige,55.6
