Year,Art,Value
2023,	PV-Anlagen ohne städtische Förderung,20.97
2023,	PV-Anlagen gefördert über den KlimaFonds,4.623
2023,	PV-Anlagen auf städtischen Dächern,5.0
2023,	Installierte Leistung gesamt,30.62
