Value,Disaggregation combinations using this value,Number of indicators
	Gewerbe + Handel + Dienstleistung,1,1
	Großverbraucher (Dienstleistung & produzierendes Gewerbe),1,1
	Haushalte,1,1
	Stadt Göttingen (städtisch genutzte Gebäude und Einrichtungen),1,1
