Value,Disaggregation combinations using this value,Number of indicators
	Biomasse,2,2
	Erdgas,2,2
	Fernwärme,2,2
	Flüssiggas,2,2
	Heizstrom,2,2
	Heizöl EL,2,2
	Sonnenkollektoren,2,2
	Steinkohle,2,2
	Strom,2,2
	Umweltwärme,2,2
