Value,Disaggregation combinations using this value,Number of indicators
	Fachbereiche und Referate sowie Eigenbetriebe,1,1
	Fachdienste sowie Abteilungen incl. Eigenbetrieb,1,1
	Oberbürgermeisterin und Dezernate,1,1
