Value,Disaggregation combinations using this value,Number of indicators
	Bundestagswahl 2009,1,1
	Bundestagswahl 2021,1,1
	Europawahl 2014,1,1
	Europawahl 2024,1,1
	Landtagswahl 2003,1,1
	Landtagswahl 2008,1,1
	Landtagswahl 2022,1,1
	Oberbürgermeisterwahl 2014,1,1
	Radentscheid I,1,1
	Radentscheid II,1,1
	Ratswahl 2011,1,1
	Ratswahl 2016,1,1
	Ratswahl 2021,1,1
