Year,Wahl,Value
2024,	Radentscheid I,55.6
2024,	Radentscheid II,56.6
2024,	Europawahl 2024,66.0
2022,	Landtagswahl 2022,57.71
2021,	Bundestagswahl 2021,75.45
2021,	Ratswahl 2021,51.26
2016,	Ratswahl 2016,47.98
2014,	Europawahl 2014,52.5
2014,	Oberbürgermeisterwahl 2014,50.09
2011,	Ratswahl 2011,42.56
2009,	Bundestagswahl 2009,74.18
2008,	Landtagswahl 2008,46.69
2003,	Landtagswahl 2003,57.46
