Year,Art der Unterstützung,Value
2023,	Durch die Göttinger Tafel unterstützte Personen,1700
2024,	Durch die Göttinger Tafel unterstützte Personen,1624
2023,	Essensausgaben pro Woche bei der Göttinger Tafel,17
2024,	Essensausgaben pro Woche bei der Göttinger Tafel,1
